coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,Date,price_volatility,liquidity_ratio,price_ma_7,price_ma_30,24h_volume_ma_7,24h_volume_ma_30,price_volatility_7
Bitkub Coin,KUB,0.0001914246139668,0.886107634543179,0.5282093213409648,0.1014324428958575,3.786409201469436e-05,0.0008159051056831,2022-03-16,2022-03-16,0.001389467092943224,0.04640747036751709,0.0008783793314681614,0.0005119344007877007,0.0007133932003151064,0.0010760868023215046,0.001389467092943224
Neutrino USD,USDN,2.4261674742554175e-05,0.8848560700876096,0.5273916598528209,0.1093689508323654,0.0002644244442357,0.0008017718812243,2022-03-16,2022-03-16,0.0013978889477817844,0.32980009704496716,0.000865867239189512,0.0005120778641142787,0.0007021676829745208,0.0008980167087143913,0.0013978889477817844
yearn.finance,YFI,0.460555975686871,0.902377972465582,0.5421095666394112,0.1053039101819589,0.0014132248848045,0.0007894307483904,2022-03-16,2022-03-16,0.17389256913198645,1.7901822138116323,0.06621087570634307,0.015862172618085677,0.0009010784846276706,0.0009424871090220586,0.17389256913198645
Nexus Mutual,NXM,0.0022444475337284,0.9136420525657072,0.5568274734260016,0.1205962059620596,3.296333855744055e-08,0.0007319219399638,2022-03-16,2022-03-16,0.1737549514376746,4.503668596007776e-05,0.06652523769240239,0.01593696728859017,0.0007275863423887644,0.0009378365951794005,0.1737549514376746
XDC Network,XDC,1.2285003461413583e-06,0.8785982478097623,0.5102207686017988,0.1267905536198218,0.0001714093087164,0.0007094255267558,2022-03-16,2022-03-16,0.17375487946777024,0.24161705810087503,0.06652539881580065,0.015936909688488682,0.0005962348661469787,0.0009434259644065209,0.17375487946777024
1inch,1INCH,3.639251213183343e-05,0.90738423028786,0.6189697465249386,0.1395663956639566,0.0020791779976598,0.0007092350901847,2022-03-16,2022-03-16,0.17391826902250446,2.9315780147289914,0.06615079855721971,0.015835544411263867,0.0007927620198302074,0.000974817561956461,0.17391826902250446
WAX,WAXP,6.649858142375997e-06,0.90738423028786,0.5445625511038429,0.1080139372822299,0.0004632301600839,0.0007080425900646,2022-03-16,2022-03-16,0.17391796535920603,0.6542405309850584,0.06615148291141847,0.015833728092521746,0.0006327662644076502,0.0009634353033567608,0.17391796535920603
Smooth Love Potion,SLP,4.0147131430588674e-07,0.904881101376721,0.5429272281275551,0.0933023615950445,0.0017147011482472,0.0007071480944866,2022-03-16,2022-03-16,0.17393005448569146,2.4248119476191174,0.06612419389103953,0.015828703133771077,0.000872314415298008,0.0009868416844815077,0.17393005448569146
Qtum,QTUM,0.0001443569648964,0.9173967459324156,0.5470155355682746,0.1149825783972125,0.0013641568686255,0.0007051156366287,2022-03-16,2022-03-16,0.1739224534583175,1.9346569523657267,0.06614135036106152,0.015833354710646497,0.0010294190473536936,0.000969364680245011,0.1739224534583175
PAX Gold,PAXG,0.0469652648028019,0.8898623279098873,0.5322976287816843,0.0969802555168408,0.0005307442377182,0.0007034667297078,2022-03-16,2022-03-16,0.01761718268908767,0.7544695652325393,0.007056963091908781,0.01731989987322848,0.0009033503834842223,0.000845835032307831,0.01761718268908767
